Run,Filename,File Size (B),Transfer Time (s),Throughput (B/s),Total Bytes,Bytes Sent,Bytes Received,Num Peers
67,B_10kB,10240,1.0027570724487305,10211.845202940272,1504,972,532,1
68,B_10kB,10240,0.6406006813049316,15984.99704861486,10240,0,10240,1
69,B_10kB,10240,1.0046095848083496,10193.014435506799,10240,0,10240,1
70,B_10kB,10240,1.0038855075836182,10200.366399000997,10240,0,10240,1
71,B_10kB,10240,1.0037219524383545,10202.028535017927,314,294,20,1
72,B_10kB,10240,1.0076611042022705,10162.146734944825,10240,0,10240,1
73,B_10kB,10240,1.0036938190460205,10202.314496399707,10240,0,10240,1
74,B_10kB,10240,1.0033283233642578,10206.031028471598,314,294,20,1
75,B_10kB,10240,1.0039713382720947,10199.494357701247,10240,0,10240,1
76,B_10kB,10240,1.00459623336792,10193.149904285712,10240,0,10240,1
77,B_10kB,10240,1.004324197769165,10195.910864983034,314,294,20,1
78,B_10kB,10240,1.0075180530548096,10163.589594203468,10240,0,10240,1
79,B_10kB,10240,1.0035045146942139,10204.239094151275,10240,0,10240,1
80,B_10kB,10240,1.004655361175537,10192.54999845746,10240,0,10240,1
81,B_10kB,10240,1.0065484046936035,10173.380586815483,10240,0,10240,1
82,B_10kB,10240,1.0032768249511719,10206.5549062178,10240,0,10240,1
83,B_10kB,10240,1.004239559173584,10196.77018940259,10240,0,10240,1
84,B_10kB,10240,2.0105597972869873,5093.108901221276,10240,0,10240,1
85,B_10kB,10240,1.0040779113769531,10198.411780573148,928,756,172,1
86,B_10kB,10240,1.0035722255706787,10203.550615579314,2259,1004,1255,1
87,B_10kB,10240,1.0046088695526123,10193.02169267153,1074,479,595,1
88,B_10kB,10240,1.0044481754302979,10194.652397684195,769,310,459,1
89,B_10kB,10240,1.004044532775879,10198.750818043402,1596,528,1068,1
90,B_10kB,10240,1.00319242477417,10207.413599943342,1259,711,548,1
91,B_10kB,10240,1.0046286582946777,10192.820914925964,1267,684,583,1
92,B_10kB,10240,1.003554344177246,10203.732423075862,1444,746,698,1
93,B_10kB,10240,1.0040273666381836,10198.925188948697,1315,801,514,1
94,B_10kB,10240,1.003361463546753,10205.693931878672,1489,1052,437,1
