Run,Filename,File Size (B),Transfer Time (s),Throughput (B/s),Total Bytes,Bytes Sent,Bytes Received,Num Peers,Overhead Ratio
56,A_10kB,10240,5.041426420211792,6093.513509755726,4172,2454,1718,1,0.13580729166666666
57,A_10kB,10240,5.019444942474365,6120.198617988305,4517,2614,1903,1,0.14703776041666666
58,A_10kB,10240,5.040591478347778,6094.522861445916,2598,2092,506,1,0.0845703125
59,A_10kB,10240,5.023080348968506,6115.769182610901,3530,2330,1200,1,0.11490885416666667
60,A_10kB,10240,5.02720832824707,6110.747356020495,3180,1869,1311,1,0.103515625
61,A_10kB,10240,5.035093545913696,6101.177608692348,3639,2232,1407,1,0.11845703125
62,A_10kB,10240,5.040262222290039,6094.920987274029,2609,1726,883,1,0.08492838541666667
63,A_10kB,10240,5.184731721878052,5925.089599211196,1102,727,375,1,0.035872395833333334
64,A_10kB,10240,5.02530574798584,6113.060884367619,2633,1774,859,1,0.08570963541666667
65,A_10kB,10240,3.522873878479004,8720.153221398696,3101,1697,1404,1,0.10094401041666666
66,A_10kB,10240,5.016714334487915,6123.529854752188,2904,1201,1703,1,0.09453125
67,A_10kB,10240,5.017317533493042,6122.79366313354,4733,2685,2048,1,0.15406901041666668
68,A_10kB,10240,5.014492750167847,6126.2427787878905,5395,2383,3012,1,0.17561848958333334
69,A_10kB,10240,5.044640064239502,6089.631690032409,3398,1636,1762,1,0.11061197916666667
70,A_10kB,10240,5.010472297668457,6131.158536550548,10240,10240,0,1,0.3333333333333333
71,A_10kB,10240,5.172286510467529,5939.346155289294,3399,2259,1140,1,0.11064453125
72,A_10kB,10240,5.015368938446045,6125.172520113394,876,733,143,1,0.028515625
73,A_10kB,10240,5.016266822814941,6124.076147680095,7082,4227,2855,1,0.23053385416666666
74,A_10kB,10240,5.014391899108887,6126.365991748528,3440,2021,1419,1,0.11197916666666667
75,A_10kB,10240,5.01782488822937,6122.174584462254,4091,2465,1626,1,0.13317057291666667
76,A_10kB,10240,5.158165693283081,5955.605505267758,2830,1693,1137,1,0.09212239583333333
77,A_10kB,10240,5.0118443965911865,6129.480001592678,4089,2844,1245,1,0.13310546875
78,A_10kB,10240,5.018022060394287,6121.934027046944,3177,1763,1414,1,0.10341796875
79,A_10kB,10240,5.012894868850708,6128.1955444326095,6416,3750,2666,1,0.20885416666666667
80,A_10kB,10240,5.012683153152466,6128.454374915011,5592,3697,1895,1,0.18203125
81,A_10kB,10240,5.079552173614502,6047.777235082575,5209,3490,1719,1,0.16956380208333333
82,A_10kB,10240,5.0340211391448975,6102.477353763803,6894,4292,2602,1,0.2244140625
83,A_10kB,10240,5.063652038574219,6066.7675752558,6289,3503,2786,1,0.20472005208333333
84,A_10kB,10240,5.0382843017578125,6097.313720323815,7260,4241,3019,1,0.236328125
85,A_10kB,10240,5.028944492340088,6108.637716481387,9962,5280,4682,1,0.32428385416666666
86,A_10kB,10240,5.1564671993255615,5957.5672282019,9194,5436,3758,1,0.29928385416666664
87,A_10kB,10240,5.04733681678772,6086.3780474930045,8639,5908,2731,1,0.28121744791666664
88,A_10kB,10240,5.026719093322754,6111.342096041717,8870,5388,3482,1,0.2887369791666667
89,A_10kB,10240,5.036792278289795,6099.119896687648,7423,4893,2530,1,0.24163411458333334
90,A_10kB,10240,5.039172887802124,6096.2385462823,3679,2879,800,1,0.11975911458333334
91,A_10kB,10240,5.0383405685424805,6097.245627221832,2632,1756,876,1,0.08567708333333333
92,A_10kB,10240,5.057794094085693,6073.794114300201,1422,789,633,1,0.0462890625
93,A_10kB,10240,5.0345237255096436,6101.868155739046,5350,3206,2144,1,0.17415364583333334
94,A_10kB,10240,5.012201309204102,6129.0435289555635,5669,3661,2008,1,0.18453776041666667
95,A_10kB,10240,5.010261058807373,6131.41703384863,7439,4209,3230,1,0.24215494791666667
96,A_10kB,10240,5.01541543006897,6125.115741325051,5048,2713,2335,1,0.16432291666666668
97,A_10kB,10240,5.137819290161133,5979.190443468586,5010,2574,2436,1,0.1630859375
98,A_10kB,10240,5.030254125595093,6107.047324645003,3411,2179,1232,1,0.11103515625
99,A_10kB,10240,5.01990270614624,6119.640518607506,3445,2302,1143,1,0.11214192708333333
100,A_10kB,10240,5.011787176132202,6129.549982947971,4847,3483,1364,1,0.15777994791666666
101,A_10kB,10240,5.027997255325317,6109.78853806323,4311,2866,1445,1,0.14033203125
102,A_10kB,10240,5.144882440567017,5970.981913556484,3089,2036,1053,1,0.10055338541666667
103,A_10kB,10240,5.033685922622681,6102.883746070928,5044,3141,1903,1,0.16419270833333333
104,A_10kB,10240,5.023967027664185,6114.6898120234655,3553,2617,936,1,0.11565755208333334
105,A_10kB,10240,5.026625633239746,6111.455724264955,4542,3248,1294,1,0.1478515625
106,A_10kB,10240,5.01590895652771,6124.513077539207,6445,3778,2667,1,0.20979817708333334
107,A_10kB,10240,5.139874458312988,5976.799676559208,7393,4231,3162,1,0.24065755208333334
108,A_10kB,10240,5.016573905944824,6123.701270222626,8348,4502,3846,1,0.27174479166666665
109,A_10kB,10240,5.011260986328125,6130.193594748156,7843,4709,3134,1,0.25530598958333334
110,A_10kB,10240,5.013872385025024,6127.000777233918,8789,4650,4139,1,0.28610026041666664
111,A_10kB,10240,5.011600494384766,6129.778308231102,5298,2977,2321,1,0.1724609375
112,A_10kB,10240,5.140815258026123,5975.7058867342585,6861,4246,2615,1,0.22333984375
113,A_10kB,10240,5.010692834854126,6130.88868395868,8486,4463,4023,1,0.2762369791666667
114,A_10kB,10240,5.019576072692871,6120.038735366655,7900,4314,3586,1,0.2571614583333333
115,A_10kB,10240,5.019975900650024,6119.551290280526,7202,4047,3155,1,0.23444010416666666
116,A_10kB,10240,5.062980651855469,6067.572071155715,8671,5352,3319,1,0.28225911458333336
117,A_10kB,10240,5.043824672698975,6090.616148154409,7596,4494,3102,1,0.247265625
118,A_10kB,10240,5.013424873352051,6127.547689661528,8341,4448,3893,1,0.27151692708333336
119,A_10kB,10240,5.012537002563477,6128.6330623174235,13195,7905,5290,1,0.4295247395833333
120,A_10kB,10240,5.012903213500977,6128.185343228553,14825,9746,5079,1,0.4825846354166667
121,A_10kB,10240,5.019804954528809,6119.759687532238,14197,8889,5308,1,0.46214192708333335
122,A_10kB,10240,5.012944936752319,6128.134337717705,13031,7699,5332,1,0.4241861979166667
123,A_10kB,10240,5.441159009933472,5645.855955306039,10294,5839,4455,1,0.3350911458333333
124,A_10kB,10240,5.011801719665527,6129.532195868706,6842,3957,2885,1,0.22272135416666666
125,A_10kB,10240,5.107469320297241,6014.720417001385,2672,2211,461,1,0.08697916666666666
126,A_10kB,10240,5.110686779022217,6010.9338193246485,10240,10240,0,1,0.3333333333333333
127,A_10kB,10240,5.125723600387573,5993.300145500853,10240,10240,0,1,0.3333333333333333
128,A_10kB,10240,5.2685229778289795,5830.856224652722,10240,10240,0,1,0.3333333333333333
129,A_10kB,10240,5.097790241241455,6026.1404542449,10240,10240,0,1,0.3333333333333333
130,A_10kB,10240,5.215929269790649,5889.650417217602,10240,10240,0,1,0.3333333333333333
131,A_10kB,10240,5.142382383346558,5973.884808622118,10240,10240,0,1,0.3333333333333333
132,A_10kB,10240,5.113674163818359,6007.422259587518,10240,10240,0,1,0.3333333333333333
133,A_10kB,10240,5.215987205505371,5889.584998900236,10240,10240,0,1,0.3333333333333333
134,A_10kB,10240,5.126734256744385,5992.118659083381,10240,10240,0,1,0.3333333333333333
135,A_10kB,10240,5.116936683654785,6003.591972933728,10240,10240,0,1,0.3333333333333333
136,A_10kB,10240,5.1306798458099365,5987.51060740772,10240,10240,0,1,0.3333333333333333
137,A_10kB,10240,5.133660793304443,5984.033857489462,10240,10240,0,1,0.3333333333333333
138,A_10kB,10240,5.243362665176392,5858.835629285343,10240,10240,0,1,0.3333333333333333
139,A_10kB,10240,5.120584726333618,5999.314852074673,10240,10240,0,1,0.3333333333333333
140,A_10kB,10240,5.135663032531738,5981.700864212638,10240,10240,0,1,0.3333333333333333
141,A_10kB,10240,5.133462429046631,5984.265089031774,10240,10240,0,1,0.3333333333333333
142,A_10kB,10240,5.091211318969727,6033.9275027807325,10240,10240,0,1,0.3333333333333333
143,A_10kB,10240,5.180596113204956,5929.8195282386505,10240,10240,0,1,0.3333333333333333
