Run,Filename,File Size (B),Transfer Time (s),Throughput (B/s),Total Bytes,Bytes Sent,Bytes Received,Num Peers,Overhead Ratio
80,B_10kB,10240,5.018419504165649,6121.449188235497,7903,4528,3375,1,0.25725911458333334
81,B_10kB,10240,5.099810361862183,6023.753398701412,9080,5523,3557,1,0.2955729166666667
82,B_10kB,10240,5.036783695220947,6099.130290059521,7795,4523,3272,1,0.2537434895833333
83,B_10kB,10240,5.018782377243042,6121.006589027548,10471,5841,4630,1,0.34085286458333336
84,B_10kB,10240,5.029247999191284,6108.269070234725,14091,8007,6084,1,0.45869140625
85,B_10kB,10240,5.056698799133301,6075.109714912285,15901,8432,7469,1,0.5176106770833333
86,B_10kB,10240,5.024951219558716,6113.492182855019,12929,6895,6034,1,0.42086588541666664
87,B_10kB,10240,5.0265185832977295,6111.585880151197,6765,3665,3100,1,0.22021484375
88,B_10kB,10240,5.115356206893921,6005.446885321285,10098,5454,4644,1,0.3287109375
89,B_10kB,10240,5.09868597984314,6025.081780177625,6467,3382,3085,1,0.21051432291666666
90,B_10kB,10240,5.085867881774902,6040.2670132435915,68,68,0,1,0.0022135416666666666
91,B_10kB,10240,5.0376691818237305,6098.058227173779,10240,10240,0,1,0.3333333333333333
92,B_10kB,10240,5.16353440284729,5949.413251330387,6078,3635,2443,1,0.1978515625
93,B_10kB,10240,5.0290367603302,6108.52564099829,6682,3329,3353,1,0.21751302083333332
94,B_10kB,10240,5.014015436172485,6126.825972328979,6050,3332,2718,1,0.19694010416666666
95,B_10kB,10240,5.016674518585205,6123.578455447337,6453,4452,2001,1,0.21005859375
96,B_10kB,10240,5.05847954750061,6072.971079853179,4212,2189,2023,1,0.137109375
97,B_10kB,10240,5.195929527282715,5912.320372841057,5505,3212,2293,1,0.17919921875
98,B_10kB,10240,5.06758189201355,6062.062864423437,4537,2897,1640,1,0.14768880208333332
99,B_10kB,10240,5.076289653778076,6051.664127782061,7104,3859,3245,1,0.23125
100,B_10kB,10240,5.013077259063721,6127.972582999348,4583,2539,2044,1,0.14918619791666668
101,B_10kB,10240,5.021957635879517,6117.136429132755,5865,3619,2246,1,0.19091796875
102,B_10kB,10240,5.190152645111084,5918.901061404622,6458,3064,3394,1,0.21022135416666668
103,B_10kB,10240,5.096188306808472,6028.03470958055,4414,2644,1770,1,0.14368489583333333
104,B_10kB,10240,5.052647829055786,6079.98044576576,3274,2309,965,1,0.10657552083333334
105,B_10kB,10240,5.01462459564209,6126.081706434598,5705,2771,2934,1,0.18570963541666666
106,B_10kB,10240,5.014562368392944,6126.157726869608,5742,3210,2532,1,0.1869140625
107,B_10kB,10240,5.1460120677948,5969.671193010692,7264,4368,2896,1,0.23645833333333333
108,B_10kB,10240,5.015706777572632,6124.759951551045,7203,4183,3020,1,0.23447265625
109,B_10kB,10240,5.024534225463867,6113.999551304462,9231,5322,3909,1,0.30048828125
110,B_10kB,10240,5.0134289264678955,6127.542735834319,8519,5057,3462,1,0.27731119791666664
111,B_10kB,10240,5.018579721450806,6121.253762034341,6618,3826,2792,1,0.2154296875
112,B_10kB,10240,5.010480642318726,6131.148325479519,9208,5510,3698,1,0.29973958333333334
113,B_10kB,10240,5.017468690872192,6122.609206488124,5617,3182,2435,1,0.18284505208333332
114,B_10kB,10240,5.016255855560303,6124.089537009602,7212,4478,2734,1,0.234765625
115,B_10kB,10240,5.016870498657227,6123.339242705639,4908,2814,2094,1,0.159765625
116,B_10kB,10240,5.0190324783325195,6120.7015759750875,5110,2549,2561,1,0.16634114583333334
117,B_10kB,10240,5.018442869186401,6121.42068780398,7414,4377,3037,1,0.24134114583333333
118,B_10kB,10240,5.143162965774536,5972.978146799537,8256,4054,4202,1,0.26875
119,B_10kB,10240,5.031691551208496,6105.302697384494,10476,5014,5462,1,0.341015625
120,B_10kB,10240,5.022502183914185,6116.473199033832,10794,6228,4566,1,0.3513671875
121,B_10kB,10240,5.071687698364258,6057.15529564408,10198,5871,4327,1,0.33196614583333334
122,B_10kB,10240,5.014104127883911,6126.717598297002,14110,8566,5544,1,0.4593098958333333
123,B_10kB,10240,5.440880298614502,5646.145166586871,8609,4991,3618,1,0.28024088541666664
124,B_10kB,10240,5.012060880661011,6129.215253256964,3041,1898,1143,1,0.09899088541666666
125,B_10kB,10240,5.023543119430542,6115.205795920859,1791,1204,587,1,0.05830078125
126,B_10kB,10240,5.016320705413818,6124.010366172506,10240,10240,0,1,0.3333333333333333
127,B_10kB,10240,5.02156138420105,6117.6191326968465,10240,10240,0,1,0.3333333333333333
128,B_10kB,10240,5.149235963821411,5965.9336289575895,10240,10240,0,1,0.3333333333333333
129,B_10kB,10240,5.049560308456421,6083.6980100136025,10240,10240,0,1,0.3333333333333333
130,B_10kB,10240,5.052252769470215,6080.455868248519,10240,10240,0,1,0.3333333333333333
131,B_10kB,10240,5.028000354766846,6109.7847717682835,10240,10240,0,1,0.3333333333333333
132,B_10kB,10240,5.037402629852295,6098.380903275298,10240,10240,0,1,0.3333333333333333
133,B_10kB,10240,5.075326919555664,6052.81206253596,10240,10240,0,1,0.3333333333333333
134,B_10kB,10240,5.039025545120239,6096.41680220277,10240,10240,0,1,0.3333333333333333
135,B_10kB,10240,5.023498058319092,6115.260649723271,10240,10240,0,1,0.3333333333333333
136,B_10kB,10240,5.0439465045928955,6090.469034916828,10240,10240,0,1,0.3333333333333333
137,B_10kB,10240,5.020879030227661,6118.450537257231,10240,10240,0,1,0.3333333333333333
138,B_10kB,10240,5.014416694641113,6126.335697795187,10240,10240,0,1,0.3333333333333333
139,B_10kB,10240,5.017528295516968,6122.536474273105,10240,10240,0,1,0.3333333333333333
140,B_10kB,10240,5.016097068786621,6124.283397775449,10240,10240,0,1,0.3333333333333333
141,B_10kB,10240,5.013589859008789,6127.346046226743,10240,10240,0,1,0.3333333333333333
142,B_10kB,10240,5.02875280380249,6108.870568617149,10240,10240,0,1,0.3333333333333333
143,B_10kB,10240,5.0166895389556885,6123.560120962738,10240,10240,0,1,0.3333333333333333
144,B_10kB,10240,5.133211135864258,5984.55804503506,10240,10240,0,1,0.3333333333333333
145,B_10kB,10240,5.037348031997681,6098.447001252214,10240,10240,0,1,0.3333333333333333
146,B_10kB,10240,5.023407220840454,6115.371231014855,10240,10240,0,1,0.3333333333333333
147,B_10kB,10240,5.014307022094727,6126.469692549205,10240,10240,0,1,0.3333333333333333
148,B_10kB,10240,5.021422386169434,6117.788474559017,10240,10240,0,1,0.3333333333333333
149,B_10kB,10240,5.143300533294678,5972.818387946988,10240,10240,0,1,0.3333333333333333
150,B_10kB,10240,5.018894910812378,6120.869343930443,10240,10240,0,1,0.3333333333333333
151,B_10kB,10240,5.0252790451049805,6113.093367406873,10240,10240,0,1,0.3333333333333333
152,B_10kB,10240,5.035188436508179,6101.062629009337,10240,10240,0,1,0.3333333333333333
153,B_10kB,10240,5.020610570907593,6118.777699670628,10240,10240,0,1,0.3333333333333333
154,B_10kB,10240,5.157402992248535,5956.486248247712,10240,10240,0,1,0.3333333333333333
155,B_10kB,10240,5.043654203414917,6090.822003459386,10240,10240,0,1,0.3333333333333333
156,B_10kB,10240,5.033972263336182,6102.5366038947595,10240,10240,0,1,0.3333333333333333
157,B_10kB,10240,5.031959533691406,6104.977552842927,10240,10240,0,1,0.3333333333333333
158,B_10kB,10240,5.028966903686523,6108.610493634481,10240,10240,0,1,0.3333333333333333
159,B_10kB,10240,5.042493581771851,6092.223916962426,10240,10240,0,1,0.3333333333333333
160,B_10kB,10240,5.047824144363403,6085.7904557358925,10240,10240,0,1,0.3333333333333333
161,B_10kB,10240,5.027325868606567,6110.604484947525,10240,10240,0,1,0.3333333333333333
162,B_10kB,10240,5.035215139389038,6101.03027369899,10240,10240,0,1,0.3333333333333333
163,B_10kB,10240,5.034449577331543,6101.95802502859,10240,10240,0,1,0.3333333333333333
164,B_10kB,10240,5.076031446456909,6051.971963539092,10240,10240,0,1,0.3333333333333333
165,B_10kB,10240,5.1415932178497314,5974.801719698749,10240,10240,0,1,0.3333333333333333
166,B_10kB,10240,5.046823263168335,6086.997383917572,10240,10240,0,1,0.3333333333333333
167,B_10kB,10240,5.033415079116821,6103.212136716972,10240,10240,0,1,0.3333333333333333
168,B_10kB,10240,5.016106605529785,6124.271754139773,10240,10240,0,1,0.3333333333333333
169,B_10kB,10240,5.039729118347168,6095.565709705236,10240,10240,0,1,0.3333333333333333
170,B_10kB,10240,5.05869197845459,6072.7160560158945,10240,10240,0,1,0.3333333333333333
171,B_10kB,10240,5.028589248657227,6109.069259972485,10240,10240,0,1,0.3333333333333333
172,B_10kB,10240,5.054136514663696,6078.189599919051,10240,10240,0,1,0.3333333333333333
173,B_10kB,10240,5.027561664581299,6110.317893546592,10240,10240,0,1,0.3333333333333333
174,B_10kB,10240,5.013835668563843,6127.045645434845,10240,10240,0,1,0.3333333333333333
175,B_10kB,10240,5.050219774246216,6082.903590979899,10240,10240,0,1,0.3333333333333333
176,B_10kB,10240,5.016727447509766,6123.513848704096,10240,10240,0,1,0.3333333333333333
177,B_10kB,10240,5.0592896938323975,6071.998612265606,10240,10240,0,1,0.3333333333333333
178,B_10kB,10240,5.045953989028931,6088.04600018002,10240,10240,0,1,0.3333333333333333
179,B_10kB,10240,5.018429279327393,6121.437264553288,10240,10240,0,1,0.3333333333333333
180,B_10kB,10240,5.108968734741211,6012.9551764728285,10240,10240,0,1,0.3333333333333333
181,B_10kB,10240,5.032501697540283,6104.319848518859,10240,10240,0,1,0.3333333333333333
182,B_10kB,10240,5.031891822814941,6105.059703532063,10240,10240,0,1,0.3333333333333333
183,B_10kB,10240,5.014243841171265,6126.54688784026,10240,10240,0,1,0.3333333333333333
184,B_10kB,10240,5.0215232372283936,6117.665606374006,10240,10240,0,1,0.3333333333333333
185,B_10kB,10240,5.017459869384766,6122.619971002747,10240,10240,0,1,0.3333333333333333
186,B_10kB,10240,5.043908357620239,6090.51509700584,10240,10240,0,1,0.3333333333333333
187,B_10kB,10240,5.029436349868774,6108.040317639477,10240,10240,0,1,0.3333333333333333
188,B_10kB,10240,5.0349040031433105,6101.40729213931,10240,10240,0,1,0.3333333333333333
189,B_10kB,10240,5.022296667098999,6116.7234905190535,10240,10240,0,1,0.3333333333333333
190,B_10kB,10240,5.014486312866211,6126.250643296875,10240,10240,0,1,0.3333333333333333
191,B_10kB,10240,5.089425086975098,6036.0452261334785,10240,10240,0,1,0.3333333333333333
192,B_10kB,10240,5.055752277374268,6076.247077508038,10240,10240,0,1,0.3333333333333333
193,B_10kB,10240,5.02706503868103,6110.921534458627,10240,10240,0,1,0.3333333333333333
194,B_10kB,10240,5.044111728668213,6090.269536537594,10240,10240,0,1,0.3333333333333333
195,B_10kB,10240,5.0340423583984375,6102.451630894393,10240,10240,0,1,0.3333333333333333
196,B_10kB,10240,5.11208176612854,6009.29355307725,10240,10240,0,1,0.3333333333333333
197,B_10kB,10240,5.041488885879517,6093.438009164771,10240,10240,0,1,0.3333333333333333
198,B_10kB,10240,5.0186896324157715,6121.119704549806,10240,10240,0,1,0.3333333333333333
199,B_10kB,10240,5.023664712905884,6115.057782634214,10240,10240,0,1,0.3333333333333333
200,B_10kB,10240,5.02558159828186,6112.725343172721,10240,10240,0,1,0.3333333333333333
201,B_10kB,10240,5.105468034744263,6017.0781191736105,10240,10240,0,1,0.3333333333333333
202,B_10kB,10240,5.016209125518799,6124.146587852395,10240,10240,0,1,0.3333333333333333
203,B_10kB,10240,5.022212743759155,6116.82570360528,10240,10240,0,1,0.3333333333333333
204,B_10kB,10240,5.089674949645996,6035.748904188209,10240,10240,0,1,0.3333333333333333
205,B_10kB,10240,5.14811897277832,5967.228061829567,10240,10240,0,1,0.3333333333333333
206,B_10kB,10240,5.255105495452881,5845.743729898723,10240,10240,0,1,0.3333333333333333
207,B_10kB,10240,5.131638765335083,5986.3917560834125,10240,10240,0,1,0.3333333333333333
208,B_10kB,10240,5.133667707443237,5984.025798058467,10240,10240,0,1,0.3333333333333333
209,B_10kB,10240,5.08516001701355,6041.10783086851,10240,10240,0,1,0.3333333333333333
210,B_10kB,10240,5.132068872451782,5985.890050092781,10240,10240,0,1,0.3333333333333333
211,B_10kB,10240,5.0955469608306885,6028.793422206426,10240,10240,0,1,0.3333333333333333
212,B_10kB,10240,5.0219566822052,6117.13759078274,10240,10240,0,1,0.3333333333333333
213,B_10kB,10240,5.047881603240967,6085.7211825801105,10240,10240,0,1,0.3333333333333333
214,B_10kB,10240,5.047495603561401,6086.186579008538,10240,10240,0,1,0.3333333333333333
215,B_10kB,10240,5.043565988540649,6090.928535444581,10240,10240,0,1,0.3333333333333333
216,B_10kB,10240,5.036792993545532,6099.119030574925,10240,10240,0,1,0.3333333333333333
217,B_10kB,10240,5.033424139022827,6103.201151247286,10240,10240,0,1,0.3333333333333333
218,B_10kB,10240,5.026807546615601,6111.234558936489,10240,10240,0,1,0.3333333333333333
219,B_10kB,10240,5.031322240829468,6105.750840346786,10240,10240,0,1,0.3333333333333333
220,B_10kB,10240,5.021117448806763,6118.160013823301,10240,10240,0,1,0.3333333333333333
221,B_10kB,10240,5.032520532608032,6104.297002059085,10240,10240,0,1,0.3333333333333333
222,B_10kB,10240,5.044579267501831,6089.705081631736,10240,10240,0,1,0.3333333333333333
223,B_10kB,10240,5.021205425262451,6118.0528176447415,10240,10240,0,1,0.3333333333333333
224,B_10kB,10240,5.034893751144409,6101.419715762121,10240,10240,0,1,0.3333333333333333
225,B_10kB,10240,5.042270660400391,6092.493257305752,10240,10240,0,1,0.3333333333333333
226,B_10kB,10240,5.020720720291138,6118.643460060577,10240,10240,0,1,0.3333333333333333
227,B_10kB,10240,5.044308185577393,6090.03234335169,10240,10240,0,1,0.3333333333333333
228,B_10kB,10240,5.0348405838012695,6101.48414605942,10240,10240,0,1,0.3333333333333333
229,B_10kB,10240,5.034793376922607,6101.541354369708,10240,10240,0,1,0.3333333333333333
230,B_10kB,10240,5.107562780380249,6014.610357410615,10240,10240,0,1,0.3333333333333333
231,B_10kB,10240,5.110837697982788,6010.756321243574,10240,10240,0,1,0.3333333333333333
232,B_10kB,10240,5.1567981243133545,5957.184915802861,10240,10240,0,1,0.3333333333333333
233,B_10kB,10240,5.029401063919067,6108.083171251809,10240,10240,0,1,0.3333333333333333
234,B_10kB,10240,5.021536827087402,6117.649050045551,10240,10240,0,1,0.3333333333333333
235,B_10kB,10240,5.064159393310547,6066.159773837153,10240,10240,0,1,0.3333333333333333
236,B_10kB,10240,5.121119022369385,5998.688932206617,10240,10240,0,1,0.3333333333333333
237,B_10kB,10240,5.126564264297485,5992.317352567059,10240,10240,0,1,0.3333333333333333
238,B_10kB,10240,5.056251287460327,6075.647402293203,10240,10240,0,1,0.3333333333333333
239,B_10kB,10240,5.132867097854614,5984.959168890238,10240,10240,0,1,0.3333333333333333
240,B_10kB,10240,5.138105392456055,5978.857507497642,10240,10240,0,1,0.3333333333333333
241,B_10kB,10240,5.140472888946533,5976.103884538846,10240,10240,0,1,0.3333333333333333
242,B_10kB,10240,5.138904809951782,5977.927425413479,10240,10240,0,1,0.3333333333333333
243,B_10kB,10240,5.0285351276397705,6109.135010541124,10240,10240,0,1,0.3333333333333333
244,B_10kB,10240,5.084523439407349,6041.864171950935,10240,10240,0,1,0.3333333333333333
245,B_10kB,10240,5.034361362457275,6102.064946924181,10240,10240,0,1,0.3333333333333333
246,B_10kB,10240,5.018217325210571,6121.695815298503,10240,10240,0,1,0.3333333333333333
247,B_10kB,10240,5.031439542770386,6105.608492134462,10240,10240,0,1,0.3333333333333333
248,B_10kB,10240,5.029690504074097,6107.731673572462,10240,10240,0,1,0.3333333333333333
249,B_10kB,10240,5.029098749160767,6108.450347117645,10240,10240,0,1,0.3333333333333333
250,B_10kB,10240,5.141393661499023,5975.033623673797,10240,10240,0,1,0.3333333333333333
251,B_10kB,10240,5.023822069168091,6114.866246663671,10240,10240,0,1,0.3333333333333333
252,B_10kB,10240,5.023467779159546,6115.297509709443,10240,10240,0,1,0.3333333333333333
